district,leg_year,pop_moe,native_moe,foreign_born_moe,not_citizen_moe,not_citizen_moe_perc
9,115th Congress,7210.0,5884.0,5443.0,5015.0,0.6
33,115th Congress,6035.0,5791.0,4015.0,3955.0,0.5
34,115th Congress,2817.0,4151.0,3773.0,3551.0,0.5
2,115th Congress,6568.0,6282.0,4592.0,3838.0,0.5
29,115th Congress,5490.0,5506.0,3768.0,3653.0,0.5
7,115th Congress,6101.0,6158.0,4746.0,3896.0,0.5
15,115th Congress,3748.0,4296.0,4155.0,3799.0,0.5
18,115th Congress,6971.0,6353.0,4256.0,3910.0,0.5
32,115th Congress,3826.0,4097.0,3180.0,2841.0,0.4
30,115th Congress,4112.0,4525.0,3486.0,2961.0,0.4
28,115th Congress,4621.0,4688.0,3537.0,2942.0,0.4
24,115th Congress,2559.0,3649.0,3210.0,3161.0,0.4
23,115th Congress,4080.0,4776.0,3125.0,2859.0,0.4
22,115th Congress,4792.0,5793.0,4762.0,3787.0,0.4
20,115th Congress,4708.0,4291.0,3441.0,3466.0,0.4
35,115th Congress,5703.0,5682.0,3616.0,3501.0,0.4
17,115th Congress,3994.0,3315.0,2999.0,2648.0,0.4
16,115th Congress,1937.0,3858.0,3745.0,3147.0,0.4
10,115th Congress,6593.0,6418.0,3933.0,3647.0,0.4
6,115th Congress,3546.0,4398.0,3655.0,3026.0,0.4
5,115th Congress,3194.0,3498.0,3062.0,2976.0,0.4
3,115th Congress,1696.0,3667.0,3522.0,3354.0,0.4
14,115th Congress,2606.0,3314.0,2550.0,2285.0,0.3
13,115th Congress,1233.0,2582.0,2334.0,2375.0,0.3
21,115th Congress,4396.0,4136.0,2658.0,2402.0,0.3
12,115th Congress,4386.0,4653.0,2746.0,2259.0,0.3
26,115th Congress,3372.0,3964.0,2929.0,2365.0,0.3
11,115th Congress,1204.0,2641.0,2520.0,2314.0,0.3
25,115th Congress,3815.0,4507.0,2348.0,1950.0,0.3
27,115th Congress,1750.0,2714.0,2085.0,1969.0,0.3
8,115th Congress,3719.0,4477.0,3209.0,2598.0,0.3
31,115th Congress,1864.0,2929.0,2638.0,2240.0,0.3
36,115th Congress,3726.0,3602.0,2520.0,2438.0,0.3
4,115th Congress,1906.0,2385.0,1752.0,1653.0,0.2
1,115th Congress,1212.0,2089.0,1576.0,1595.0,0.2
19,115th Congress,347.0,1788.0,1732.0,1740.0,0.2
