district,leg_year,pop,native,foreign_born,not_citizen,not_citizen_perc,party
137,2016,184277.0,95248.0,89029.0,72831.0,39.5,D
103,2016,181502.0,113727.0,67775.0,55889.0,30.8,D
140,2016,177826.0,111859.0,65967.0,50182.0,28.2,D
90,2016,164542.0,110922.0,53620.0,42500.0,25.8,D
36,2016,179615.0,118986.0,60629.0,43269.0,24.1,D
104,2016,181781.0,123439.0,58342.0,43392.0,23.9,D
143,2016,173770.0,117514.0,56256.0,41591.0,23.9,D
149,2016,194489.0,111603.0,82886.0,45304.0,23.3,D
148,2016,177948.0,124248.0,53700.0,40713.0,22.9,D
145,2016,172999.0,117199.0,55800.0,39247.0,22.7,D
144,2016,168894.0,117646.0,51248.0,37129.0,22.0,D
115,2016,191351.0,130844.0,60507.0,40808.0,21.3,D
131,2016,201678.0,138064.0,63614.0,42845.0,21.2,D
146,2016,186972.0,133628.0,53344.0,39348.0,21.0,D
110,2016,177891.0,133039.0,44852.0,37173.0,20.9,D
37,2016,171147.0,121910.0,49237.0,35396.0,20.7,D
105,2016,188493.0,134122.0,54371.0,38419.0,20.4,D
138,2016,185132.0,124933.0,60199.0,37822.0,20.4,R
102,2016,182434.0,129719.0,52715.0,36322.0,19.9,D
40,2016,194645.0,147003.0,47642.0,37328.0,19.2,D
42,2016,176256.0,129561.0,46695.0,33284.0,18.9,D
46,2016,191047.0,145571.0,45476.0,34611.0,18.1,D
133,2016,189269.0,133988.0,55281.0,34094.0,18.0,R
35,2016,178470.0,137377.0,41093.0,31984.0,17.9,D
75,2016,182014.0,129506.0,52508.0,31895.0,17.5,D
39,2016,176070.0,134164.0,41906.0,30774.0,17.5,D
41,2016,181760.0,134280.0,47480.0,31082.0,17.1,D
77,2016,154792.0,111993.0,42799.0,25865.0,16.7,D
139,2016,195136.0,148262.0,46874.0,32020.0,16.4,D
76,2016,152518.0,109262.0,43256.0,24821.0,16.3,D
51,2016,203103.0,158551.0,44552.0,32852.0,16.2,D
114,2016,184988.0,144658.0,40330.0,30020.0,16.2,D
74,2016,166074.0,124988.0,41086.0,26780.0,16.1,D
100,2016,173116.0,137054.0,36062.0,27523.0,15.9,D
141,2016,187741.0,147685.0,40056.0,29741.0,15.8,D
101,2016,185976.0,135277.0,50699.0,28932.0,15.6,D
28,2016,236230.0,163686.0,72544.0,36009.0,15.2,R
38,2016,178033.0,136451.0,41582.0,26897.0,15.1,D
80,2016,176882.0,139732.0,37150.0,26656.0,15.1,D
112,2016,178762.0,131853.0,46909.0,26901.0,15.0,R
66,2016,186460.0,135616.0,50844.0,27774.0,14.9,R
147,2016,195372.0,153877.0,41495.0,28398.0,14.5,D
132,2016,223362.0,167008.0,56354.0,31529.0,14.1,D
142,2016,173825.0,138831.0,34994.0,24396.0,14.0,D
95,2016,176955.0,145751.0,31204.0,24374.0,13.8,D
107,2016,180409.0,145131.0,35278.0,24110.0,13.4,D
116,2016,188329.0,152253.0,36076.0,25132.0,13.3,D
50,2016,199738.0,156560.0,43178.0,26316.0,13.2,D
126,2016,184724.0,140923.0,43801.0,24159.0,13.1,R
113,2016,181394.0,142781.0,38613.0,22704.0,12.5,D
67,2016,191256.0,147636.0,43620.0,22524.0,11.8,R
31,2016,177970.0,147898.0,30072.0,20807.0,11.7,D
